KrakenDB,NCBI_Parent
1000001300,293284
1000001301,293284
1000001302,12332
1000001303,12332
1000001304,12332
1000001305,12332
1000001306,12332
1000001307,12348
1000001308,12348
1000001309,12360
1000001310,12360
1000001311,64141
1000001312,64141
1000001313,12402
1000001314,12402
1000001315,12336
1000001316,12336
1000001317,195056
1000001318,195056
1000001319,12390
1000001320,12390
1000001321,12353
1000001322,12353
1000001323,64003
1000001324,64003
1000001325,12814
1000001326,12814
1000001327,12851
1000001328,12851
1000001329,12851
1000001330,12851
1000001331,12881
1000001332,12881
1000001333,12888
1000001334,12888
1000001335,31598
1000001336,31598
1000001337,12885
1000001338,12885
1000001339,12890
1000001340,12890
1000001341,46015
1000001342,46015
1000001343,12893
1000001344,12893
1000001345,40538
1000001346,40538
1000001347,12889
1000001348,12889
1000001349,64279
1000001350,64279
1000001351,35304
1000001352,35304
1000001353,35304
1000001354,35304
1000001355,12894
1000001356,12894
1000001357,12892
1000001358,12892
1000001359,104388
1000001360,104388
1000001361,12896
1000001362,12896
1000001363,12895
1000001364,12895
1000001365,12897
1000001366,12897
1000001367,12901
1000001368,12901
1000001369,12904
1000001370,12904
1000001371,64280
1000001372,64280
1000001373,40539
1000001374,40539
1000001375,12899
1000001376,12899
1000001377,12898
1000001378,12898
1000001379,12907
1000001380,12907
1000001381,362830
1000001382,362830
1000001383,28274
1000001384,28274
1000001385,12906
1000001386,12906
1000001387,28288
1000001388,28288
1000001389,28285
1000001390,28285
1000001391,28300
1000001392,28300
1000001393,418443
1000001394,418443
1000001395,28314
1000001396,28314
1000001397,28311
1000001398,28311
1000001399,28289
1000001400,28289
1000001401,46618
1000001402,46618
1000001403,46618
1000001404,28347
1000001405,28347
1000001406,46075
1000001407,46075
1000001408,46075
1000001409,78395
1000001410,78395
1000001411,28344
1000001412,28344
1000001413,28321
1000001414,28321
1000001415,28295
1000001416,28295
1000001417,28351
1000001418,28351
1000001419,28351
1000001420,28873
1000001421,28873
1000001422,28871
1000001423,28871
1000001424,28355
1000001425,28355
1000001426,28355
1000001427,35305
1000001428,35305
1000001429,35305
1000001430,35305
1000001431,28375
1000001432,28375
1000001433,28375
1000001434,28875
1000001435,28875
1000001436,28875
1000001437,28875
1000001438,28875
1000001439,28875
1000001440,28875
1000001441,28875
1000001442,28875
1000001443,28875
1000001444,28875
1000001445,28875
1000001446,28874
1000001447,28874
1000001448,29255
1000001449,29255
1000001450,35310
1000001451,35310
1000001452,35310
1000001453,35310
1000001454,28882
1000001455,28882
1000001456,29256
1000001457,29256
1000001458,291590
1000001459,291590
1000001460,29271
1000001461,29271
1000001462,129732
1000001463,129732
1000001464,31537
1000001465,31537
1000001466,40640
1000001467,40640
1000001468,31600
1000001469,31600
1000001470,31600
1000001471,160843
1000001472,160843
1000001473,31602
1000001474,31602
1000001475,31602
1000001476,31612
1000001477,31612
1000001478,129727
1000001479,129727
1000001480,31631
1000001481,31631
1000001482,71032
1000001483,71032
